the movie The In-Laws not exactly a holiday movie but funny and good!,"The In-Laws movie isn't a holiday movie, but it's okay."
that page did not give me viroses(i think),I don't think that page gave me viruses.
"of corse i be wachin it evry day, my fav charachter is Inuasha","I watch it everyday, my favorite charachter is Inuasha."
runescape.com (my kids love it) & funbrain.com  (educational),Funbrain.com and runescape.com are great for family fun.
Is he gay?He was on Late Night with Conan O'Brien and he seemed pretty gay,He was on the Late Night show with Conan O'Brien and seemed gay.
"id have to say mel gibson, a strong [god] beliver!!!",Mel Gibson is a strong believed of God.
i don't know.and my exams r not over yet still 1 remaining i.e on 23-dec.,My exams are not over yet because I still have one left.
Spy Kids 3D: Game Over 20.,Sky Kids 3D: game over.
because his mom was a wafer so long,His mom was a wafer so long.
Hope that helps or am I entirely off here?,I am entirely off or does that help.
Yes he does he her name is jessica,Her name is Jessica.
www.us.imdb.com is probablly one of your best bets!,www.us.imdb.com is probably one of your best bets.
Anyways Titanic is my favorite Movie i cry all the time i see it!,Titanic is my favorite movie and I cry when I see it.
it gives us something to do!,It gives us something to do.
"his cool,or more than that maybe,","He is debonair, or perhaps more than that."
"Some people really, really like MLB, I guess.",Many people enjoy the MLB.
"I don't have that model (it's new), but I have the Creative Zen Micro and like it a lot.","I do not possess that model, but I am partial to my Creative Zen Micro"
I've watched it and it is AWESOME!!!!,I viewed it and I believe it is a quality program.
She cant sing for her life!,She is a poor vocalist.
"i dont know, but he iss wayyyy hottt",He is very attractive.
MAYBE AT 20 YEARS OLD AND YOUR MARRIED.,"This is an example of something someone, who is age 20 and married, would do."
Am I getting pay for this?,What am I getting paid for doing this?
"You should really listen to some real... what the heck, what the first answerer said.",Listen to what the first person who answered said.
he could fly that plane ha ha.,"He could fly that plane, and I think that is funny."
"Cool book, cool story, cool movie.","This was an interesting book, story, and movie."
"It's not good for you, dude.","Sir, it is not good for you."
"Or even it's open to not interpret it at all, just enjoy it :)","it is not open to interpretation, however you can take pleasure in it."
"Haven't seen the tv series, but R.O.D.","I have not seen the television series, however I have seen the R.O.D"
"he urinates batman, and loses weight in water loss...lol","When he urinates it is batman, which is funny because he loses weight in water."
I like to spend my time with myself,I like to spend time by myself.
A guy walks into a bar... ouch!,I guy walks into the bar.
of course downloading music from other computers is illegal but u can do wat u want to do.,"Downloading music from other computers is illegal, but you can do what you want."
go to yahoo.com and click on images and type his name in in click on yahoo search.,Go to yahoo.com and click on images and type his name in the search box.
"He and the other guys (Nick, Rich, David) agreed on Final Cut.",He and the other guys agreed on the final cut.
To get to the toher side,We went to the other side.
I didn't know they had an HBO in the 80's,I didn't know HBO existed in the 1980s.
"yes , exept for episode iv.","Yes, but not for episode IV."
Go to www.oprah.com and look there.,You can look at www.oprah.com.
"1) Don't use all capitals...it's bad internet manners  2) No  (**  )<| Dead Fish Ollec, the Fish Slayer","It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer."
these movies would make anyone cry.,Anyone would cry at these movies.
Lo que me gusta es que tu te dejas llevar (Duro!),What I like is that you let yourself go. (Hard!)
But it was entertaining....that's what I want for my $8.00 admission!,"Entertainment, that's what I want for my $8.00."
"skip that dude that said he knows the lead singer, hes lying.","That dude, skip him, he said he knows the lead singer, hes lying."
you... your mom and your pp.. i am first do i get the points?,I was first out of all of us. Do I get the points?
"Rest assured, tho...Showtime is talking about picking it up, so it will be better!","Rest assured, though Showtime is talking about starting it, so it will be better."
depends on how much money and drugs you have,it depends on how much money and drugs you have.
The Bangles Hazy shade of Winter...,The Bangles Hazy shade of Winter.
but the longest word in the dictionary is  antinonestablishtarianism  i think thats how u spell it!,But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.
Probably at the ricky ticky tavy store.,Probably at the Ricky Ticky Tavy store.
"Hail, Hail, The gang's all here,  And it good-bye to all the rest!",The gang is all here; goodbye to all the rest!
"BIG, SLEEPLES IN SEATTLE AND I HOPE THE DA VINCI CODE","The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code."
